City,Country,Latitude,Longitude
Aberdeen,Scotland,57.15,-2.15
Abu Dhabi,United Arab Emirates,24.466667,54.366667
Abuja,Nigeria,9.066667,7.483333
Accra,Ghana,5.55,-0.2
Addis Ababa,Ethiopia,9.03,38.74
Adelaide,Australia,-34.916667,138.6
Albuquerque,USA/NM,35.110833,-106.61
Algiers,Algeria,36.833333,3
Amman,Jordan,31.95,35.933333
Amsterdam,Netherlands,52.366667,4.883333
Anchorage,USA/AK,61.216667,-149.9
Andorra la Vella,Andorra,42.5,1.5
Ankara,Turkey,39.916667,32.916667
Annapolis,USA/MD,38.973056,-76.501111
Apia,Samoa,-13.833333,-171.75
Ashgabat,Turkmenistan,37.933333,58.366667
Asmara,Eritrea,15.322778,38.925
Asuncion,Paraguay,-25.25,-57.666667
Athens,Greece,37.966667,23.716667
Atlanta,USA/GA,33.755,-84.39
Auckland,New Zealand,-36.866667,174.75
Augusta,USA/ME,44.307,-69.782
Baghdad,Iraq,33.333333,44.383333
Baku,Azerbaijan,40.395278,49.882222
Baltimore,USA/MD,39.289444,-76.615278
Bamako,Mali,12.639167,-8.002778
Bandar Seri Begawan,Brunei,4.890278,114.942222
Bangkok,Thailand,13.75,100.5
Bangui,Central African Republic,4.373333,18.562778
Banjul,Gambia,13.453056,-16.5775
Barcelona,Spain,41.383333,2.15
Basseterre,Saint Kitts and Nevis,17.3,-62.733333
Baton Rouge,USA/LA,30.4475,-91.178611
Beijing,China,39.916667,116.416667
Beirut,Lebanon,33.9,35.533333
Belem,Brazil,-1.466667,-48.483333
Belfast,Northern Ireland,54.616667,-5.933333
Belgrade,Serbia,44.866667,20.533333
Belmopan,Belize,17.251389,-88.766944
Bentonville,USA/AR,36.666667,-94.213333
Berlin,Germany,52.5,13.416667
Bern,Switzerland,46.948056,7.4475
Billings,USA/MT,45.783611,-108.506111
Birmingham,England,52.416667,-1.916667
Bishkek,Kyrgyzstan,42.874722,74.612222
Bismarck,USA/ND,46.808333,-100.783611
Bissau,Guinea-Bissau,11.85,-15.566667
Bogota,Colombia,4.533333,-74.25
Boise,USA/ID,43.615833,-116.201667
Bordeaux,France,44.833333,-0.516667
Boston,USA/MA,42.358056,-71.063511
Brasilia,Brazil,-15.793889,-47.882778
Bratislava,Slovakia,48.143889,17.109722
Brazzaville,Republic of the Congo,-4.266667,15.283333
Bremen,Germany,53.083333,8.816667
Bridgetown,Barbados,13.0975,-59.616667
Brisbane,Australia,-27.483333,153.133333
Bristol,England,51.466667,-2.583333
Brussels,Belgium,50.866667,4.366667
Bucharest,Romania,44.416667,26.116667
Budapest,Hungary,47.5,19.083333
Buenos Aires,Argentina,-34.583333,-58.366667
Burlington,USA/VT,44.475833,-73.211944
Cairo,Egypt,30.033333,31.35
Calcutta,India,22.5726,88.3639
Canberra,Australia,-35.293056,149.126944
Canton,China,23.116667,113.25
Cape Town,South Africa,-33.916667,18.366667
Caracas,Venezuela,10.466667,-67.033333
Cardiff,Wales,51.483333,-3.183333
Carson City,USA/NV,39.164444,-119.766944
Castries,Saint Lucia,14.016667,-60.983333
Cayenne,French Guiana,4.816667,-52.3
Charleston,USA/WV,38.347222,-81.633333
Charlotte,USA/NC,35.227222,-80.843056
Cheyenne,USA/WY,41.14,-104.820278
Chicago,USA/IL,41.881944,-87.627778
Chihuahua,Mexico,28.616667,-106.083333
Chisinau,Moldova,47.022887,28.835335
Chongqing,China,29.766667,106.566667
Colombo,Sri Lanka,6.934444,79.842778
Columbia,USA/SC,34.000556,-81.034722
Columbus,USA/OH,39.962222,-83.000556
Conakry,Guinea,9.509167,-13.712222
Concord,USA/NH,43.206667,-71.538056
Copenhagen,Denmark,55.666667,12.566667
Cordoba,Argentina,-31.466667,-64.166667
Dakar,Senegal,14.666667,-17.466667
Dallas,USA/TX,32.779167,-96.808889
Damascus,Syria,33.513056,36.291944
Darwin,Australia,-12.466667,130.85
Delhi,India,28.61,77.23
Denver,USA/CO,39.739167,-104.990278
Des Moines,USA/IA,41.590833,-93.620833
Detroit,USA/MI,42.331389,-83.045833
Dhaka,Bangladesh,23.763889,90.388889
Dili,East Timor,-8.566667,125.566667
Djibouti,Djibouti,11.5,43.05
Dodoma,Tanzania,-6.173056,35.741944
Doha,Qatar,25.286667,51.533333
Dover,USA/DE,39.158056,-75.524444
Dublin,Ireland,53.333333,-6.25
Durban,South Africa,-29.883333,30.883333
Dushanbe,Tajikistan,38.536667,68.78
Edinburgh,Scotland,55.916667,-3.166667
Florence,Italy,43.783333,11.25
Frankfort,USA/KY,38.2,-84.866667
